item,status,path,next_action
公开246例patient-slide-label-feature清单,complete,results/audit_first_stage/tcga_public_feature_matched_246_cohort_after_gpu_run.csv,
历史289例OOF队列原始slide_id/POLE,partial,results/audit_first_stage/final_289_patient_cohort.csv,需要历史训练用clinical或用公开246例替代说明
M1-M4 OOF/metrics/fold registry/per-fold权重,complete,results/oof_preds_M*_*.csv; results/fold_registry_M*.csv; models/per_fold/M1-M4,
M1-M4逐epoch日志,complete,results/training_epoch_logs/M1-M4; src/train_multitask.py,
M5临床变量/缺失率/per-fold pipeline,complete,results/M5_clinical_feature_missingness.csv; models/per_fold/M5_clinical,
M6 OOF/fold registry,complete,results/oof_preds_M6_survival.csv; results/fold_registry_M6_survival.csv,
M6 per-fold survival权重,complete,models/per_fold/M6_survival; results/training_epoch_logs/M6_survival,
UNI2-h配置/权重hash,complete,results/audit_first_stage/uni2h_feature_extraction_config_current.json,
Brier score,complete,results/cpu_supplement/brier_scores.csv,
CPTAC推理/评估/图表,complete,results/external_cptac_feature_infer_20x256_4gpu,注意可评估QC标签42例，完整推理167例/666 slides
展示病例视觉证据,partial,results/visual_evidence_package,已生成coordinate-level thumbnail/attention/cluster证据；病理命名和rendered patch验证仍需人工确认
Agent无泄漏全量结构化输出,partial_rule_based_complete,results/cpu_supplement/agent_no_leakage_outputs,规则版无标签泄漏结构化输出已生成；如需正式DeepSeek/GLM Agent结论，仍需配置FRIDAY_APP_ID后重跑LLM版
图像+临床融合模型,missing_model_not_implemented,,需单独设计并训练融合模型
多seed/失败实验登记,missing_experiment_required,,需按实验矩阵重跑并登记
最新轻量交付包,complete,results/delivery_package/tcga_stad_delivery_lightweight_20260817_200008.tar.gz,
干净Git固定版本,missing_commit_required,,过滤数据后git add/commit/push
