id,material,priority,status,current_action,output_path,blocker,unblock_condition
T01,内部TCGA原始clinical.csv、原始字段、POLE病例清单、患者-全部切片映射,P0,partial_completed_public_h5,已下载并校验HuggingFace TCGA-STAD UNI2-h特征包，解压400个h5；已生成公开295例label table、GDC patient-slide映射、246例feature-matched队列和49例缺特征清单,clinical.csv; tcga_stad_uni2h/TCGA-STAD/features/; results/audit_first_stage/tcga_uni2h_feature_manifest.csv; results/audit_first_stage/tcga_public_feature_matched_246_cohort.csv; results/audit_first_stage/tcga_public_label_patients_missing_uni2h_features.csv,仍不是历史训练固定版本clinical/fold；cBioPortal四型不提供POLE subtype，不能按历史POLE排除规则复原,如需完全复原旧实验，仍需历史clinical.csv和旧fold；如需POLE清单，需定义按POLE突变还是按四分型POLE并下载/解析突变表
T02,训练时原始CV fold落盘文件,P0,partial_completed_public_fold,已基于公开246例feature-matched队列生成5折patient-level/site-group fold清单和fold summary,results/audit_first_stage/tcga_public_feature_matched_cv_folds.csv; results/audit_first_stage/tcga_public_feature_matched_cv_fold_summary.csv,历史训练时原始fold文件从未落盘或不在checkout，无法证明与公开重建fold完全相同,找回旧fold文件，或用run_internal_public_retrain.sh在GPU节点重训生成新的正式fold registry
T03,M1-M6每fold正式权重、best epoch、训练日志、超参搜索记录,P0,data_ready_gpu_retrain_required,临床表和TCGA h5已恢复；训练脚本已改造保存每fold权重/best epoch/fold registry；新增run_internal_public_retrain.sh统一重训入口,tcga_stad_uni2h/TCGA-STAD/features/; run_internal_public_retrain.sh; src/train_multitask.py; src/train_clinical.py; src/train_survival.py,当前节点nvidia-smi不可见GPU；旧实验每fold权重/日志无法反推生成,到GPU节点运行 DEVICE=cuda bash run_internal_public_retrain.sh
T04,M6患者级OOF风险表和权重,P1,data_ready_gpu_retrain_required,M6训练脚本已改造保存OOF risk CSV和fold registry；数据已恢复但当前节点无GPU，未正式重训,src/train_survival.py; run_internal_public_retrain.sh; results/metrics_M6_survival.json,当前节点无GPU；旧M6 OOF risk CSV和权重旧产物缺失,到GPU节点运行 DEVICE=cuda bash run_internal_public_retrain.sh 或单独 python -m src.train_survival --device cuda
T05,内部OOF高敏感度筛查阈值表,P1,completed_now,已用现有M1/M2/M3/M5 OOF生成0.90/0.95/0.99目标敏感度阈值,results/cpu_supplement/high_sensitivity_thresholds_oof.csv; results/cpu_supplement/high_sensitivity_thresholds_oof.json,,已完成
T06,三个展示病例AA69、AA6K、BR-7703现有证据包,P1,partial_completed_h5_svs_coords,三个展示病例已补OOF/M4/Agent证据、GDC原始SVS、md5校验、h5路径、coords key和patch数；缩略图/attention/cluster图仍未生成,results/cpu_supplement/showcase_cases_evidence_with_h5_svs.csv; results/cpu_supplement/showcase_cases_evidence_with_h5_svs.json; external_downloads/tcga_stad/showcase_primary_tumor_svs/; results/cpu_supplement/showcase_svs_tiffinfo_head.txt,当前环境缺OpenSlide共享库；未运行attention导出和cluster overlay渲染,安装OpenSlide/libvips后生成thumbnail；GPU重训/加载模型后导出attention heatmap；基于代表patch渲染cluster overlay
T07,15-20个代表病例完整证据包,P1,partial_completed_candidate_index,已生成20例代表病例候选包，覆盖TP/TN/FP/FN和边界病例；20例均有h5/coords,results/cpu_supplement/representative_case_candidate_package_20.csv; results/cpu_supplement/representative_case_candidate_package_20_summary.json,候选包尚未渲染thumbnail/attention/cluster overlay/代表patch图片；当前缺OpenSlide且未导出attention,安装OpenSlide/libvips并运行attention/cluster可视化导出流程
T08,无监督cluster中心、代表patch、命名依据和病理医师验证,P1,partial_completed_numeric_clusters,已基于246例feature-matched队列生成8个无监督cluster中心、代表patch坐标、样本分布和患者cluster fraction；未给病理命名,results/cpu_supplement/unsupervised_cluster_numeric_evidence/cluster_numeric_evidence_summary.json; results/cpu_supplement/unsupervised_cluster_numeric_evidence/cluster_centers.npy; results/cpu_supplement/unsupervised_cluster_numeric_evidence/cluster_representative_patch_coords.csv; results/cpu_supplement/unsupervised_cluster_numeric_evidence/patient_cluster_fractions.csv,缺代表patch图像渲染和病理医师验证，不能命名为TIL/肿瘤/间质/坏死,安装OpenSlide/libvips渲染代表patch，提交病理医师逐簇确认并形成验证表
T09,正式无泄漏Agent全量输出和重复运行稳定性,P1,blocked_llm_run_required,已生成无泄漏输入、prompt和schema,results/cpu_supplement/agent_no_leakage_inputs_289.csv; results/cpu_supplement/agent_no_leakage_prompt.txt; results/cpu_supplement/agent_no_leakage_output_schema.json,尚未调用LLM按无泄漏协议全量重跑；无重复运行记录,确认FRIDAY_APP_ID/模型/温度/次数后运行正式Agent批处理并保存全量JSON
T10,Lauren、部位、分期、切片质量等亚组分析,P2,partial_completed_public_clinical_feature_qc,已补cBioPortal公开临床字段缺失率、M5预处理摘要、feature patch数QC按subtype/site分层；仍缺扫描参数/伪影/人工QC,results/audit_first_stage/tcga_public_raw_clinical_missingness.csv; results/audit_first_stage/tcga_public_M5_clinical_feature_missingness.csv; results/audit_first_stage/tcga_public_M5_clinical_preprocessing_summary.json; results/audit_first_stage/tcga_public_feature_qc_by_subtype.csv; results/audit_first_stage/tcga_public_feature_qc_by_site.csv,没有扫描参数、染色/伪影、组织面积等WSI级人工/算法QC表；历史289例与公开246/295例不是完全同一版本,安装OpenSlide/libvips后可计算组织面积/缩略图QC；人工记录伪影和排除状态
